Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
,6 October,,White,gas,"96,000 Km",https://eg.hatla2ee.com/en/car/citroen/C4X/6999132,Citroën,C4X,1300000,Used Citroën C4X 2023 for sale 6 October,automatic,2023
,Shobra,,Silver,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7001272,Daewoo,Nubira 2,255000,Used Daewoo Nubira 2 1999 for sale Shobra,manual,1999
,Hurghada,,Blue,gas,0 Km,https://eg.hatla2ee.com/en/car/moris-garage/Rx5/7001358,MG,Rx5,1345000,Used MG Rx5 2023 for sale Hurghada,automatic,2023
,Alexandria,,Brown,gas,"132,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/7001366,Kia,Rio,630000,Used Kia Rio 2015 for sale Alexandria,automatic,2015
,Alexandria,,Dark red,gas,"80,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/6998860,Chevrolet,Aveo,410000,Used Chevrolet Aveo 2012 for sale Alexandria,automatic,2012
,Ismailia,,Blue,gas,"86,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7001371,Chevrolet,Optra,590000,Used Chevrolet Optra 2020 for sale Ismailia,automatic,2020
,Alexandria,,Silver,gas,"79,000 Km",https://eg.hatla2ee.com/en/car/speranza/a113/7001373,Speranza,A113,230000,Used Speranza A113 2013 for sale Alexandria,manual,2013
,Cairo,,Cyan,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7001178,Daewoo,Lanos 2,260000,Used Daewoo Lanos 2 2008 for sale Cairo,manual,2008
,6 October,,Black,gas,"360,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7001374,Chevrolet,Aveo,435000,Used Chevrolet Aveo 2018 for sale 6 October,automatic,2018
,Cairo,,Silver,gas,0 Km,https://eg.hatla2ee.com/en/car/renault/megane/7001387,Renault,Megane,300000,Used Renault Megane 2006 for sale Cairo,automatic,2006
,Damietta,,Gray,gas,"165,000 Km",https://eg.hatla2ee.com/en/car/kia/soul/7001390,Kia,Soul,770000,Used Kia Soul 2015 for sale Damietta,automatic,2015
,Pyramids Gardens,,Silver,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/bmw/530/7001394,BMW,530,475000,Used BMW 530 1999 for sale Pyramids Gardens,automatic,1999
Sedan,Damietta,,Silver,gas,"169,400 Km",https://eg.hatla2ee.com/en/car/honda/civic/7001399,Honda,Civic,210000,Used Honda Civic 1992 for sale Damietta,automatic,1992
Hatchback,Faiyum,,Silver,gas,"290,000 Km",https://eg.hatla2ee.com/en/car/hyundai/matrix/7001402,Hyundai,Matrix,470000,Used Hyundai Matrix 2007 for sale Faiyum,automatic,2007
,Giza,,Mocha,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001417,Nissan,Sunny,480000,Used Nissan Sunny 2016 for sale Giza,automatic,2016
,El Minya,,White,gas,"130,000 Km",https://eg.hatla2ee.com/en/car/peugeot/505/7001426,Peugeot,505,110000,Used Peugeot 505 1984 for sale El Minya,manual,1984
,6 October,,Dark blue,gas,"112,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/cruze/7001309,Chevrolet,Cruze,520000,Used Chevrolet Cruze 2016 for sale 6 October,automatic,2016
,Cairo,,Black,gas,"12,000 Km",https://eg.hatla2ee.com/en/car/kia/sorento/7001158,Kia,Sorento,2850000,Used Kia Sorento 2024 for sale Cairo,automatic,2024
Sedan,Khanka,,Blue,gas,"227,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7001433,Chevrolet,Optra,544000,Used Chevrolet Optra 2021 for sale Khanka,manual,2021
,Port Said,,Silver,gas,"183,670 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/7001186,Mitsubishi,Lancer Puma,350000,Used Mitsubishi Lancer Puma 2006 for sale Port Said,automatic,2006
,Touhk,,Dark red,gas,0 Km,https://eg.hatla2ee.com/en/car/renault/megane/7001440,Renault,Megane,195000,Used Renault Megane 1999 for sale Touhk,manual,1999
Van,Helwan,,White,gas,"225,000 Km",https://eg.hatla2ee.com/en/car/fiat/doblo/6999324,Fiat,Doblo,820000,Used Fiat Doblo 2021 for sale Helwan,manual,2021
,Alexandria,,White,gas,"52,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/7001443,Chery,Tiggo 3,720000,Used Chery Tiggo 3 2023 for sale Alexandria,automatic,2023
SUV,Giza,,Gray,gas,"28,000 Km",https://eg.hatla2ee.com/en/car/mercedes/GLB/7001441,Mercedes,GLB,4300000,Used Mercedes GLB 2023 for sale Giza,automatic,2023
Sedan,6 October,,Black,gas,"104,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/7001442,Nissan,Sentra,660000,Used Nissan Sentra 2019 for sale 6 October,automatic,2019
,6 October,,Silver,gas,"62,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7001454,Chevrolet,Optra,650000,Used Chevrolet Optra 2021 for sale 6 October,automatic,2021
,El Salam City,,White,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/suzuki/van/7001463,Suzuki,Van,350000,Used Suzuki Van 2022 for sale El Salam City,manual,2022
,Pyramids Gardens,,White,gas,"19,000 Km",https://eg.hatla2ee.com/en/car/toyota/Rush/7001466,Toyota,Rush,1200000,Used Toyota Rush 2019 for sale Pyramids Gardens,automatic,2019
,Tagamo3 - New Cairo,,Silver,gas,,https://eg.hatla2ee.com/en/new-car/imported/volks-wagen/ID-4/7001476,Volkswagen,ID 4,2000000,Imported new Volkswagen ID 4 2024 for sale Tagamo3 - New Cairo,automatic,2024
,Tagamo3 - New Cairo,,Black,gas,"45,000 Km",https://eg.hatla2ee.com/en/car/mercedes/e-300/7001485,Mercedes,E 300,3400000,Used Mercedes E 300 2019 for sale Tagamo3 - New Cairo,automatic,2019
,Cairo,,White,gas,"227,000 Km",https://eg.hatla2ee.com/en/car/brilliance/frv-cross/7001380,Brilliance,FRV Cross,400000,Used Brilliance FRV Cross 2013 for sale Cairo,automatic,2013
,Dokki,,Dark red,gas,"28,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/6981362,Chevrolet,Optra,675000,Used Chevrolet Optra 2023 for sale Dokki,automatic,2023
,6 October,,Silver,gas,"270,000 Km",https://eg.hatla2ee.com/en/car/proton/persona/7001493,Proton,Persona,400000,Used Proton Persona 2013 for sale 6 October,automatic,2013
,Tagamo3 - New Cairo,,Silver,gas,"115,000 Km",https://eg.hatla2ee.com/en/car/opel/insignia/7001496,Opel,Insignia,990000,Used Opel Insignia 2018 for sale Tagamo3 - New Cairo,automatic,2018
,Sheikh Zayed City,,Black,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/opel/Crossland/7001497,Opel,Crossland,475000,Used Opel Crossland 2019 for sale Sheikh Zayed City,automatic,2019
SUV,Obour City,,Dark blue,gas,"195,000 Km",https://eg.hatla2ee.com/en/car/renault/duster/7001495,Renault,Duster,660000,Used Renault Duster 2018 for sale Obour City,automatic,2018
Sedan,Hadayek October,,White,gas,"80,000 Km",https://eg.hatla2ee.com/en/car/renault/megane/7001500,Renault,Megane,900000,Used Renault Megane 2022 for sale Hadayek October,automatic,2022
Sedan,Mokattam,,Blue,gas,"183,000 Km",https://eg.hatla2ee.com/en/car/bmw/330/7001494,BMW,330,990000,BMW 330i E90 Original,automatic,2010
,Heliopolis,,Gray,gas,"65,000 Km",https://eg.hatla2ee.com/en/car/mercedes/c-180/7001507,Mercedes,C 180,2600000,Used Mercedes C 180 2020 for sale Heliopolis,automatic,2020
,Mohandessin,,Bronze,gas,"11,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/6965323,Chery,Tiggo 3,820000,Used Chery Tiggo 3 2023 for sale Mohandessin,automatic,2023
Sedan,Nasr city,,Brown,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/7001513,Opel,Astra,550000,اوبل استراك 2016,automatic,2016
,Tagamo3 - New Cairo,,White,gas,,https://eg.hatla2ee.com/en/new-car/imported/volks-wagen/ID-6/7001514,Volkswagen,ID 6,2400000,Imported new Volkswagen ID 6 2024 for sale Tagamo3 - New Cairo,automatic,2024
,Heliopolis,,Dark grey,gas,"44,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6999308,Skoda,Octavia A8,1550000,Used Skoda Octavia A8 2022 for sale Heliopolis,automatic,2022
Sedan,6 October,,Mocha,gas,"53,000 Km",https://eg.hatla2ee.com/en/car/renault/logan/7001518,Renault,Logan,550000,Used Renault Logan 2020 for sale 6 October,automatic,2020
,Tagamo3 - New Cairo,,Red,gas,"110,000 Km",https://eg.hatla2ee.com/en/car/kia/picanto/7001521,Kia,Picanto,560000,Used Kia Picanto 2012 for sale Tagamo3 - New Cairo,automatic,2012
Sedan,Imbaba,,Silver,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/byd/f3/7001525,Byd,F3,385000,Used Byd F3 2017 for sale Imbaba,manual,2017
,Kafr el-Sheikh,,Silver,gas,"290,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7001520,Mitsubishi,Lancer EX Shark,650000,Used Mitsubishi Lancer EX Shark 2016 for sale Kafr el-Sheikh,automatic,2016
,Tagamo3 - New Cairo,,Black,gas,"23,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001530,Nissan,Sunny,680000,Used Nissan Sunny 2025 for sale Tagamo3 - New Cairo,automatic,2025
,Dakahlia,,White,gas,"146,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7001534,Toyota,Corolla,760000,Used Toyota Corolla 2012 for sale Dakahlia,automatic,2012
SUV,6 October,,Black,gas,"37,000 Km",https://eg.hatla2ee.com/en/car/jac/JS4/7000293,Jac,JS4,850000,Used Jac JS4 2022 for sale 6 October,automatic,2022
Sedan,6 October,,Dark red,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/opel/insignia/7000285,Opel,Insignia,950000,Used Opel Insignia 2018 for sale 6 October,automatic,2018
,Gharbia,,Gold,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/7001528,Fiat,Tipo,650000,Used Fiat Tipo 2020 for sale Gharbia,automatic,2020
,Sheikh Zayed City,,Black,gas,"80,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/Rx5/7001375,MG,Rx5,1260000,Used MG Rx5 2023 for sale Sheikh Zayed City,automatic,2023
Sedan,Tagamo3 - New Cairo,,Black,gas,"210,000 Km",https://eg.hatla2ee.com/en/car/renault/fluence/7001546,Renault,Fluence,550000,Used Renault Fluence 2014 for sale Tagamo3 - New Cairo,automatic,2014
,Dakahlia,,Silver,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/cruze/7001549,Chevrolet,Cruze,420000,Used Chevrolet Cruze 2010 for sale Dakahlia,automatic,2010
Sedan,Tagamo3 - New Cairo,,Red,gas,"109,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7001558,Chevrolet,Aveo,350000,Chevrolet aveo 2008 manual,manual,2008
Sedan,El Minya,,Red,gas,"293,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001562,Nissan,Sunny,500000,Used Nissan Sunny 2020 for sale El Minya,automatic,2020
,Al Shorouk,,Dark red,gas,"265,000 Km",https://eg.hatla2ee.com/en/car/fiat/tempra/7001564,Fiat,Tempra,115000,Used Fiat Tempra 1998 for sale Al Shorouk,manual,1998
,Tanta,,Other,gas,"2,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos/7001569,Daewoo,Lanos,1,Used Daewoo Lanos 1998 for sale Tanta,manual,1998
Sedan,Maadi,,White,gas,"138,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7001573,MG,5,680000,Used MG 5 2021 for sale Maadi,automatic,2021
,Cairo,,Black,gas,"230,000 Km",https://eg.hatla2ee.com/en/car/opel/corsa/7001580,Opel,Corsa,340000,Used Opel Corsa 2010 for sale Cairo,automatic,2010
,Madinaty,,Blue,gas,"106,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7001581,MG,5,800000,Used MG 5 2022 for sale Madinaty,automatic,2022
SUV,Tagamo3 - New Cairo,,White,gas,"90,000 Km",https://eg.hatla2ee.com/en/car/audi/q3/7001583,Audi,Q3,1985000,Used Audi Q3 2021 for sale Tagamo3 - New Cairo,automatic,2021
Sedan,Ismailia,,Other,gas,"52,000 Km",https://eg.hatla2ee.com/en/car/fiat/128/7001587,Fiat,128,45000,Used Fiat 128 1984 for sale Ismailia,manual,1984
Sedan,Dakahlia,,Silver,gas,"280,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/7001589,Mitsubishi,Lancer Puma,390000,Used Mitsubishi Lancer Puma 2007 for sale Dakahlia,automatic,2007
,6 October,,White,gas,"8,500 Km",https://eg.hatla2ee.com/en/car/mercedes/c-180/6971013,Mercedes,C 180,2900000,Used Mercedes C 180 2024 for sale 6 October,automatic,2024
,Obour City,,Silver,gas,"125,000 Km",https://eg.hatla2ee.com/en/car/toyota/yaris/7001599,Toyota,Yaris,570000,Used Toyota Yaris 2013 for sale Obour City,automatic,2013
,Tagamo3 - New Cairo,,Other,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/kia/Xceed/6998943,Kia,Xceed,1270000,Used Kia Xceed 2022 for sale Tagamo3 - New Cairo,automatic,2022
,Nasr city,,Black,gas,0 Km,https://eg.hatla2ee.com/en/car/kia/rio/7001603,Kia,Rio,240000,Used Kia Rio 2004 for sale Nasr city,manual,2004
,Damietta,,Dark red,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/seat/toledo/7001610,Seat,Toledo,780000,Used Seat Toledo 2016 for sale Damietta,automatic,2016
,Cairo,,Red,natural gas,"136,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/7001550,Chery,Tiggo 3,700000,Used Chery Tiggo 3 2023 for sale Cairo,automatic,2023
Sedan,Tanta,,Black,gas,"274,000 Km",https://eg.hatla2ee.com/en/car/hyundai/elantra/7001612,Hyundai,Elantra,520000,Used Hyundai Elantra 2008 for sale Tanta,manual,2008
,Damietta,,Black,gas,"110,000 Km",https://eg.hatla2ee.com/en/car/bmw/320/7001615,BMW,320,1740000,Used BMW 320 2018 for sale Damietta,automatic,2018
Sedan,Obour City,,Cyan,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/bmw/523/7001629,BMW,523,500000,Used BMW 523 2000 for sale Obour City,automatic,2000
,Helwan,,Cyan,gas,"290,000 Km",https://eg.hatla2ee.com/en/car/honda/civic/7001628,Honda,Civic,530000,Used Honda Civic 2007 for sale Helwan,automatic,2007
,El Haram,,White,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/lada/2107/7001630,Lada,2107,85000,Used Lada 2107 2003 for sale El Haram,manual,2003
Sedan,Nasr city,,Black,gas,0 Km,https://eg.hatla2ee.com/en/car/mercedes/e-200/6992647,Mercedes,E 200,5500000,Used Mercedes E 200 2024 for sale Nasr city,automatic,2024
4x4,Nasr city,,Silver,gas,0 Km,https://eg.hatla2ee.com/en/car/toyota/prado/6959263,Toyota,Prado,6300000,Used Toyota Prado 2023 for sale Nasr city,automatic,2023
,Shobra,,Silver,gas,"999,000 Km",https://eg.hatla2ee.com/en/car/fiat/128/6991385,Fiat,128,75000,Used Fiat 128 1992 for sale Shobra,manual,1992
Sedan,Asyut,,Bronze,gas,"44,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/7001598,Nissan,Sentra,750000,Used Nissan Sentra 2021 for sale Asyut,automatic,2021
,Sheikh Zayed City,,Black,gas,"184,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7001642,Mitsubishi,Lancer EX Shark,675000,Used Mitsubishi Lancer EX Shark 2016 for sale Sheikh Zayed City,automatic,2016
,Al Shorouk,,Dark grey,gas,"6,000 Km",https://eg.hatla2ee.com/en/car/jac/J7/6998536,Jac,J7,1020000,Used Jac J7 2024 for sale Al Shorouk,automatic,2024
Sedan,6 October,,White,gas,"183,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7001597,Hyundai,Verna,280000,Used Hyundai Verna 2011 for sale 6 October,manual,2011
,Giza,,Green,gas,"30,000 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/7001640,Fiat,Tipo,640000,Used Fiat Tipo 2021 for sale Giza,manual,2021
,6 October,,Black,gas,"191,000 Km",https://eg.hatla2ee.com/en/car/peugeot/508/7001644,Peugeot,508,825000,Used Peugeot 508 2017 for sale 6 October,automatic,2017
,Sheikh Zayed City,,Silver,gas,"220,000 Km",https://eg.hatla2ee.com/en/car/kia/cerato/7001647,Kia,Cerato,680000,Used Kia Cerato 2016 for sale Sheikh Zayed City,automatic,2016
Sedan,Alexandria,,Blue,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/7001618,Suzuki,Swift Dzire                                                                                            || Dzire,600000,Used Suzuki Swift Dzire 2022 for sale Alexandria,automatic,2022
,Sheikh Zayed City,,Silver,gas,"230,000 Km",https://eg.hatla2ee.com/en/car/kia/Grand-Cerato/7001654,Kia,Grand Cerato,940000,Used Kia Grand Cerato 2021 for sale Sheikh Zayed City,automatic,2021
,Heliopolis,,Silver,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/nissan/qashqai/6999372,Nissan,Qashqai,780000,Used Nissan Qashqai 2017 for sale Heliopolis,automatic,2017
,Cairo,,Dark grey,gas,"101,000 Km",https://eg.hatla2ee.com/en/car/renault/logan/7000761,Renault,Logan,500000,Used Renault Logan 2018 for sale Cairo,automatic,2018
,Sheikh Zayed City,,Gold,gas,"70,000 Km",https://eg.hatla2ee.com/en/car/renault/duster/7001659,Renault,Duster,750000,Used Renault Duster 2019 for sale Sheikh Zayed City,automatic,2019
,6 October,,White,gas,"92,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/captiva/7001661,Chevrolet,Captiva,1050000,Used Chevrolet Captiva 2020 for sale 6 October,automatic,2020
,Damietta,,White,gas,1 Km,https://eg.hatla2ee.com/en/car/moris-garage/zs/6985180,MG,ZS,1050000,Used MG ZS 2025 for sale Damietta,automatic,2025
,6 October,,White,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/mercedes/cla/7001675,Mercedes,CLA Class                                                                                            || CLA,1500000,Used Mercedes CLA Class 2015 for sale 6 October,automatic,2015
,Cairo,,Blue,gas,"80,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo-7/7001680,Chery,Tiggo 7,760000,Used Chery Tiggo 7 2021 for sale Cairo,automatic,2021
SUV,Nasr city,,Silver,gas,0 Km,https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/7001684,Mitsubishi,Eclipse Cross,1540000,Used Mitsubishi Eclipse Cross 2025 for sale Nasr city,automatic,2025
4x4,Mit Ghamr,,White,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/trax/7001686,Chevrolet,Trax,750000,Used Chevrolet Trax 2019 for sale Mit Ghamr,automatic,2019
,Imbaba,,Blue,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/hyundai/accent/7001691,Hyundai,Accent,180000,Used Hyundai Accent 2000 for sale Imbaba,manual,2000
,Faiyum,,Silver,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/skoda/fantasia/7001693,Skoda,Fantasia,680000,Used Skoda Fantasia 2011 for sale Faiyum,automatic,2011
Hatchback,Banha,,Red,gas,"997,865 Km",https://eg.hatla2ee.com/en/car/fiat/127/7001692,Fiat,127,55000,Used Fiat 127 1987 for sale Banha,manual,1987
Sedan,Helwan,,Gray,gas,"70,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001557,Nissan,Sunny,585000,Used Nissan Sunny 2020 for sale Helwan,automatic,2020
Sedan,Hurghada,,Other,gas,0 Km,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7001593,Daewoo,Nubira 2,270000,Used Daewoo Nubira 2 2006 for sale Hurghada,manual,2006
Sedan,El Marg,,Silver,gas,"182,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001700,Nissan,Sunny,430000,Used Nissan Sunny 2011 for sale El Marg,automatic,2011
,6 October,,Silver,gas,"177,000 Km",https://eg.hatla2ee.com/en/car/renault/scenic/6981723,Renault,Scenic,322000,Used Renault Scenic 2006 for sale 6 October,automatic,2006
,Alexandria,,Black,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/speranza/tiggo/7001710,Speranza,Tiggo,575000,Used Speranza Tiggo 2019 for sale Alexandria,automatic,2019
Sedan,Sharqia,,White,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/honda/civic/7001667,Honda,Civic,870000,Used Honda Civic 2016 for sale Sharqia,automatic,2016
,6 October,,Silver,gas,"85,000 Km",https://eg.hatla2ee.com/en/car/ds/DS7/6999413,Ds,DS7,1890000,Used Ds DS7 2022 for sale 6 October,automatic,2022
Sedan,Cairo,,Dark blue,gas,"30,000 Km",https://eg.hatla2ee.com/en/car/mercedes/mercedes-benz-gla-200/6999440,Mercedes,GLA 200,2250000,Used Mercedes GLA 200 2020 for sale Cairo,automatic,2020
Hatchback,Shibin el Kom,,Blue,gas,"115,000 Km",https://eg.hatla2ee.com/en/car/daewoo/matiz/7001712,Daewoo,Matiz,118000,Used Daewoo Matiz 1999 for sale Shibin el Kom,manual,1999
Sedan,Nasr city,,Black,gas,"280,000 Km",https://eg.hatla2ee.com/en/car/renault/fluence/7001664,Renault,Fluence,600000,Used Renault Fluence 2015 for sale Nasr city,automatic,2015
,Cairo,,Red,gas,"152,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/6991262,Kia,Rio,700000,Used Kia Rio 2015 for sale Cairo,automatic,2015
,Mohandessin,,White,gas,"130,000 Km",https://eg.hatla2ee.com/en/car/nissan/qashqai/7001739,Nissan,Qashqai,950000,Used Nissan Qashqai 2019 for sale Mohandessin,automatic,2019
,El Minya,,Dark red,gas,"305,000 Km",https://eg.hatla2ee.com/en/car/renault/fluence/7001732,Renault,Fluence,450000,Used Renault Fluence 2014 for sale El Minya,automatic,2014
SUV,Madinaty,,Black,gas,"50,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/captiva/6989971,Chevrolet,Captiva,1150000,Used Chevrolet Captiva 2023 for sale Madinaty,automatic,2023
Sedan,6 October,,Blue,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7001751,Toyota,Corolla,460000,Used Toyota Corolla 2008 for sale 6 October,automatic,2008
,Heliopolis,,Silver,gas,"135,000 Km",https://eg.hatla2ee.com/en/car/lada/granta/7001750,Lada,Granta,350000,Used Lada Granta 2019 for sale Heliopolis,manual,2019
,Cairo,,Silver,gas,"133,000 Km",https://eg.hatla2ee.com/en/car/lada/2110/6983878,Lada,2110,150000,Used Lada 2110 2006 for sale Cairo,manual,2006
,Giza,,Silver,gas,"298,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7001756,Nissan,Sunny,485000,Used Nissan Sunny 2019 for sale Giza,automatic,2019
,Mohandessin,,Brown,gas,"164,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/6999476,Kia,Rio,580000,Used Kia Rio 2014 for sale Mohandessin,automatic,2014
,Tagamo3 - New Cairo,,Silver,gas,"18,000 Km",https://eg.hatla2ee.com/en/car/bmw/320/6999477,BMW,320,3275000,Used BMW 320 2024 for sale Tagamo3 - New Cairo,automatic,2024
,Tagamo3 - New Cairo,,Gray,gas,"155,000 Km",https://eg.hatla2ee.com/en/car/renault/sandero-step-way/6982026,Renault,Sandero Step Way,540000,Used Renault Sandero Step Way 2019 for sale Tagamo3 - New Cairo,automatic,2019
,Tagamo3 - New Cairo,,Black,gas,"155,000 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/6981222,Fiat,Tipo,700000,Used Fiat Tipo 2020 for sale Tagamo3 - New Cairo,automatic,2020
,Ashmoun,,Silver,gas,"98,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/7001768,Skoda,Octavia A4,340000,Used Skoda Octavia A4 1998 for sale Ashmoun,automatic,1998
SUV,Maadi,,Silver,gas,"285,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/7001766,Volkswagen,Tiguan,800000,Used Volkswagen Tiguan 2010 for sale Maadi,manual,2010
,El Salam City,,Silver,gas,"210,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/6998111,Opel,Astra,630000,Used Opel Astra 2017 for sale El Salam City,automatic,2017
,6 October,,Gray,gas,"76,000 Km",https://eg.hatla2ee.com/en/car/mercedes/mercedes-benz-gla-200/7001778,Mercedes,GLA 200,2300000,Used Mercedes GLA 200 2021 for sale 6 October,automatic,2021
,Alexandria,,Red,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/7001792,Hyundai,Elantra AD,900000,Used Hyundai Elantra AD 2017 for sale Alexandria,automatic,2017
Hatchback,Alexandria,,Dark blue,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/zotye/xplosion/7001776,Zotye,Xplosion,15500,Used Zotye Xplosion 2008 for sale Alexandria,manual,2008
,Cairo,,Bronze,gas,"252,000 Km",https://eg.hatla2ee.com/en/car/nissan/tiida/6985458,Nissan,Tiida,445000,Used Nissan Tiida 2008 for sale Cairo,automatic,2008
,Cairo,,Black,gas,"130,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/aveo/6985465,Chevrolet,Aveo,550000,Used Chevrolet Aveo 2019 for sale Cairo,automatic,2019
,Cairo,,Silver,gas,"350,000 Km",https://eg.hatla2ee.com/en/car/mercedes/mercedes-320/7001800,Mercedes,320,850000,Used Mercedes 320 2003 for sale Cairo,automatic,2003
,6 October,,Silver,gas,"240,000 Km",https://eg.hatla2ee.com/en/car/kia/rio/6999025,Kia,Rio,420000,Used Kia Rio 2013 for sale 6 October,automatic,2013
MiniVans,Tagamo3 - New Cairo,,White,gas,,https://eg.hatla2ee.com/en/new-car/imported/peugeot/5008/6986547,Peugeot,5008,2600000,Imported new Peugeot 5008 2024 for sale Tagamo3 - New Cairo,manual,2024
,6 October,,Blue,gas,"300,000 Km",https://eg.hatla2ee.com/en/car/bmw/320/7001606,BMW,320,1050000,Used BMW 320 2013 for sale 6 October,automatic,2013
,Zagazig,,Dark grey,gas,"55,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/7001807,Hyundai,Accent RB,735000,Used Hyundai Accent RB 2021 for sale Zagazig,automatic,2021
Sedan,Tagamo3 - New Cairo,,Silver,gas,"68,000 Km",https://eg.hatla2ee.com/en/car/skoda/superb/6999481,Skoda,Superb,1800000,Used Skoda Superb 2022 for sale Tagamo3 - New Cairo,automatic,2022
,Cairo,,Gray,gas,"119,000 Km",https://eg.hatla2ee.com/en/car/daihatsu/terios/6977434,Daihatsu,Terios,620000,Used Daihatsu Terios 2015 for sale Cairo,automatic,2015
,Qena,,White,gas,0 Km,https://eg.hatla2ee.com/en/car/hyundai/accent/7001815,Hyundai,Accent,160000,Used Hyundai Accent 1999 for sale Qena,manual,1999
Sedan,Cairo,,Gold,gas,"179,000 Km",https://eg.hatla2ee.com/en/car/renault/scala/7001817,Renault,Scala,430000,Used Renault Scala 2011 for sale Cairo,automatic,2011
Sedan,Sadat City,,White,gas,"90,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/6972291,Toyota,Corolla,1090000,Used Toyota Corolla 2021 for sale Sadat City,automatic,2021
,Obour City,,Gray,gas,"130,000 Km",https://eg.hatla2ee.com/en/car/peugeot/301/7001818,Peugeot,301,600000,Used Peugeot 301 2020 for sale Obour City,automatic,2020
