Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
,Giza,,Silver,gas,"206,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/7009786,Opel,Astra,580000,Used Opel Astra 2012 for sale Giza,automatic,2012
,Alexandria,,Dark grey,gas,"132,000 Km",https://eg.hatla2ee.com/en/car/renault/duster/7009654,Renault,Duster,870000,Used Renault Duster 2019 for sale Alexandria,automatic,2019
,El Bagour,,Silver,gas,"156,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/zs/7009520,MG,ZS,780000,Used MG ZS 2021 for sale El Bagour,automatic,2021
Sedan,Sheikh Zayed City,,Red,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7009404,Mitsubishi,Lancer EX Shark,600000,Used Mitsubishi Lancer EX Shark 2009 for sale Sheikh Zayed City,automatic,2009
Sedan,Heliopolis,,Black,gas,"132,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7009277,Chevrolet,Optra,430000,Used Chevrolet Optra 2010 for sale Heliopolis,manual,2010
,Alexandria,,Silver,gas,"142,000 Km",https://eg.hatla2ee.com/en/car/hyundai/IX-35/7009201,Hyundai,IX 35,865000,Used Hyundai IX 35 2016 for sale Alexandria,automatic,2016
,Tagamo3 - New Cairo,,Eggplant,gas,"155,000 Km",https://eg.hatla2ee.com/en/car/opel/sintra/7009054,Opel,Sintra,750000,Used Opel Sintra 2016 for sale Tagamo3 - New Cairo,automatic,2016
Sedan,Maadi,,Black,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/hyundai/excel/7007758,Hyundai,Excel,115000,Used Hyundai Excel 1997 for sale Maadi,manual,1997
,6 October,,Silver,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/hyundai/i10/7008966,Hyundai,I10,550000,Used Hyundai I10 2015 for sale 6 October,automatic,2015
Sedan,Cairo,,White,gas,"65,000 Km",https://eg.hatla2ee.com/en/car/kia/K3/7008826,Kia,K3,900000,Used Kia K3 2013 for sale Cairo,automatic,2013
Sedan,Al Shorouk,,Black,gas,"500,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos/7008730,Daewoo,Lanos,200000,Used Daewoo Lanos 1999 for sale Al Shorouk,manual,1999
,El Mahalla,,Dark grey,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7008630,Toyota,Corolla,800000,Used Toyota Corolla 2016 for sale El Mahalla,automatic,2016
Sedan,Obour City,,Dark blue,gas,"207,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7008482,Chevrolet,Optra,475000,Used Chevrolet Optra 2018 for sale Obour City,automatic,2018
Sedan,Cairo,,Black,gas,"165,000 Km",https://eg.hatla2ee.com/en/car/bmw/320/7007195,BMW,320,590000,Used BMW 320 2005 for sale Cairo,automatic,2005
Sedan,Badr City,,Dark grey,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Accent-HCI/5153948,Hyundai,Accent HCI,680000,Used Hyundai Accent HCI 2019 for sale Badr City,automatic,2019
,Heliopolis,,Green,gas,"290,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Crystala/7008139,Mitsubishi,Lancer Crystala,295000,Used Mitsubishi Lancer Crystala 1999 for sale Heliopolis,automatic,1999
,Cairo,,Blue,gas,"135,000 Km",https://eg.hatla2ee.com/en/car/skoda/rapid/7007979,Skoda,Rapid,630000,Used Skoda Rapid  for sale Cairo,automatic,2015
Sedan,Cairo,,Red,gas,0 Km,https://eg.hatla2ee.com/en/car/honda/civic/7007903,Honda,Civic,240000,Used Honda Civic 1994 for sale Cairo,automatic,1994
Hatchback,Cairo,,Silver,gas,"105,000 Km",https://eg.hatla2ee.com/en/car/speranza/a113/7007786,Speranza,A113,190000,Used Speranza A113 2009 for sale Cairo,manual,2009
,Dikirnis,,Cyan,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/peugeot/505/7007421,Peugeot,505,185000,Used Peugeot 505 1990 for sale Dikirnis,automatic,1990
,Tagamo3 - New Cairo,,Black,gas,"62,000 Km",https://eg.hatla2ee.com/en/car/skoda/superb/7007562,Skoda,Superb,1850000,Used Skoda Superb 2021 for sale Tagamo3 - New Cairo,automatic,2021
,El Haram,,Silver,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7007429,Mitsubishi,Lancer EX Shark,740000,Used Mitsubishi Lancer EX Shark 2017 for sale El Haram,automatic,2017
,El Minya,,Black,gas,"195,000 Km",https://eg.hatla2ee.com/en/car/proton/gen-2/7007300,Proton,Gen 2,450000,Used Proton Gen 2 2013 for sale El Minya,automatic,2013
,Suez,,White,gas,"25,000 Km",https://eg.hatla2ee.com/en/car/mercedes/GLC-200-AMG-Imported/7004891,Mercedes,GLC 200 AMG Imported,4400000,Used Mercedes GLC 200 AMG Imported 2023 for sale Suez,automatic,2023
,Helwan,,Cyan,gas,"110,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7004792,Toyota,Corolla,1040000,Used Toyota Corolla 2021 for sale Helwan,automatic,2021
,Cairo,,Black,gas,0 Km,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7006962,Daewoo,Nubira 2,240000,Used Daewoo Nubira 2 2002 for sale Cairo,automatic,2002
Sedan,Dakahlia,,White,gas,"2,000,000 Km",https://eg.hatla2ee.com/en/car/opel/vectra/7006852,Opel,Vectra,200000,Used Opel Vectra 1995 for sale Dakahlia,manual,1995
SUV,Tanta,,Gray,gas,"44,000 Km",https://eg.hatla2ee.com/en/car/kia/Xceed/7006711,Kia,Xceed,1150000,Used Kia Xceed 2022 for sale Tanta,automatic,2022
SUV,Giza,,White,gas,"39,000 Km",https://eg.hatla2ee.com/en/car/jac/s3/7006624,Jac,S3,550000,Used Jac S3 2016 for sale Giza,automatic,2016
